operation	source	destination	volume(uL)	
//Add water to each oligonucleotide container to 100 uM				
dispense	ddH2O_water	ca4238_stock	324	
mix	ca4238_stock			
dispense	ddH2O_water	ca4239_stock	298	
mix	ca4239_stock			
				
//Prepare a 10 uM dilution with water for each oligonucleotide				
dispense	ddH2O_water	primer1	90	
transfer	ca4238_stock	primer1	10	
mix	primer1			
dispense	ddH2O_water	primer2	90	
transfer	ca4239_stock	primer2	10	
mix	primer2			
				
//Prepare a 20x dilution of the template				
dispense	ddH2O_water	template	9.5	
transfer	pTargetF	template	0.5	
mix	template			
				
//Set up the PCR reaction in a PCR tube:				
dispense	ddH2O_water	PCR_tube	28.5	
dispense	Q5_Polymerase_Buffer_5x	PCR_tube	10	
dispense	dNTPs_2mM	PCR_tube	5	
transfer	primer1	PCR_tube	2.5	
transfer	primer2	PCR_tube	2.5	
transfer	template	PCR_tube	1	
dispense	Q5_Polymerase	PCR_tube	0.5	
mix	PCR_tube			
				
//Run the PCR				
thermocycle	PCR_tube	Q5_4k55		
				
//Cleanup the DNA to remove polymerase and dNTPs, Buffer, salts				
cleanup	PCR_tube	ipcr	50	
				
//Set up digestion				
dispense	ddH2O_water	spe_dig	38	
dispense	NEB_Buffer_2_10x	spe_dig	5	
transfer	ipcr	spe_dig	6	
dispense	SpeI	spe_dig	0.5	
dispense	DpnI	spe_dig	0.5	
mix	spe_dig			
				
//Incubate the digestion				
thermocycle	spe_dig	inc_1hr_37		
				
//Cleanup digestion				
cleanup	spe_dig	dig	6	
				
//Set up ligation				
dispense	ddH2O_water	lig	7.5	
dispense	T4_DNA_Ligase_Buffer_10x	lig	1	
transfer	dig	lig	1	
dispense	T4_DNA_Ligase	lig	0.5	
mix	lig			
				
//Incubate the ligation				
thermocycle	lig	inc_30min_25		
				
//Transform, plate, grow, pick, miniprep, sequence, sequence-confirm				
transform	lig	DH10B	Spec	pTarg-amilGFP1
